            Date          Time    Rge     Ht  Ambig
417   2005/01/02   2:30:10.687  161.9   90.3      1
418   2005/01/02   2:30:42.634  163.9   96.0      1
419   2005/01/02   2:30:42.631  165.9  103.4      1
420   2005/01/02   2:30:52.489  185.9   92.5      1
421   2005/01/02   2:30:55.011  151.9   94.0      1
422   2005/01/02   2:31:48.015  114.0   97.2      1
423   2005/01/02   2:31:48.015  112.0   95.0      1
424   2005/01/02   2:32:14.082  249.9   90.3      1
425   2005/01/02   2:32:35.492  185.9   88.8      1
426   2005/01/02   2:32:58.541  112.0  103.1      1
427   2005/01/02   2:34:24.817  221.9   97.6      1
428   2005/01/02   2:34:24.817  223.9   97.7      1
429   2005/01/02   2:34:49.683  159.9   87.1      1
430   2005/01/02   2:34:49.683  161.9   87.6      1
431   2005/01/02   2:34:57.351  132.0   89.0      1
432   2005/01/02   2:35:01.194  118.0   88.8      1
433   2005/01/02   2:35:02.474  181.9   86.7      1
434   2005/01/02   2:35:04.728  165.9   89.2      1
435   2005/01/02   2:35:37.787  293.9   90.4      1
436   2005/01/02   2:35:52.828  251.9   82.3      2
437   2005/01/02   2:35:52.828  321.9  106.7      2
438   2005/01/02   2:35:52.843  110.0   85.4      3
439   2005/01/02   2:35:52.843  249.9   83.8      3
440   2005/01/02   2:35:52.843  319.9  108.8      3
441   2005/01/02   2:37:09.858  120.0   96.7      1
442   2005/01/02   2:37:09.858  118.0   94.5      1
443   2005/01/02   2:37:14.690   92.0   81.2      1
444   2005/01/02   2:38:09.116  157.9   89.6      1
445   2005/01/02   2:38:36.183  185.9   88.5      1
446   2005/01/02   2:38:36.216  183.9   89.0      1
447   2005/01/02   2:38:40.709  134.0  105.7      1
448   2005/01/02   2:38:40.735  130.0  102.5      1
449   2005/01/02   2:40:01.981  155.9   91.6      1
450   2005/01/02   2:41:14.858  181.9   90.1      1
451   2005/01/02   2:41:19.672  151.9   95.1      1
452   2005/01/02   2:41:19.638  149.9   94.1      1
453   2005/01/02   2:41:27.362  153.9   88.8      1
454   2005/01/02   2:41:39.392   98.0   85.2      1
455   2005/01/02   2:41:41.127  151.9   93.6      1
456   2005/01/02   2:41:46.280  132.0   88.4      1
457   2005/01/02   2:41:46.280  130.0   87.4      1
458   2005/01/02   2:41:46.287  134.0   89.7      1
459   2005/01/02   2:42:22.269  251.9   96.4      1
460   2005/01/02   2:42:22.287  253.9   97.8      1
461   2005/01/02   2:42:52.552  126.0   90.1      1
462   2005/01/02   2:43:05.481  110.0   90.8      1
463   2005/01/02   2:43:05.474  106.0   87.3      1
464   2005/01/02   2:43:27.444  243.9   92.9      1
465   2005/01/02   2:43:59.265  163.9   91.0      1
466   2005/01/02   2:43:59.265  165.9   92.4      1
467   2005/01/02   2:43:59.298  201.9   91.0      1
468   2005/01/02   2:43:59.298  199.9   89.5      1
469   2005/01/02   2:44:13.362  132.0   90.9      1
470   2005/01/02   2:44:13.310  130.0   86.8      2
471   2005/01/02   2:44:13.310  130.0   76.9      2
472   2005/01/02   2:44:14.866  199.9   92.3      1
473   2005/01/02   2:44:14.866  197.9   91.3      1
474   2005/01/02   2:44:29.825  132.0   89.7      1
475   2005/01/02   2:44:29.825  130.0   88.1      1
476   2005/01/02   2:44:32.597  157.9   91.5      1
477   2005/01/02   2:44:32.597  159.9   94.5      1
478   2005/01/02   2:44:32.593  155.9   91.1      1
479   2005/01/02   2:44:46.004  128.0  107.6      1
480   2005/01/02   2:44:46.004  128.0  107.6      1
481   2005/01/02   2:44:46.175  120.0  102.0      1
482   2005/01/02   2:44:46.101  118.0  100.7      1
483   2005/01/02   2:45:00.048  169.9   85.4      1
484   2005/01/02   2:45:28.937  225.9   84.7      1
485   2005/01/02   2:45:28.940  227.9   86.0      1
486   2005/01/02   2:45:50.832  175.9   89.7      1
487   2005/01/02   2:47:06.683  239.9   97.1      1
488   2005/01/02   2:47:06.687  237.9   99.3      1
489   2005/01/02   2:47:55.578  295.9   75.0      2
490   2005/01/02   2:47:55.578  365.8   94.6      2
491   2005/01/02   2:47:55.589  293.9   80.6      2
492   2005/01/02   2:47:55.589  363.8  101.6      2
493   2005/01/02   2:47:57.403  175.9   84.3      1
494   2005/01/02   2:47:57.399  173.9   82.8      1
495   2005/01/02   2:48:03.354  221.9   97.4      1
496   2005/01/02   2:48:06.955  267.9   92.8      1
497   2005/01/02   2:48:26.198  120.0   99.6      1
498   2005/01/02   2:48:26.198  118.0   97.9      1
499   2005/01/02   2:48:26.500   96.0   82.3      1
500   2005/01/02   2:49:06.448  203.9   98.2      1
501   2005/01/02   2:49:06.448  201.9   97.5      1
502   2005/01/02   2:50:06.884  120.0   97.0      1
503   2005/01/02   2:50:06.884  118.0   95.3      1
504   2005/01/02   2:50:58.179  116.0   93.5      1
505   2005/01/02   2:51:48.276  151.9   89.3      1
506   2005/01/02   2:51:48.261  155.9   91.4      1
507   2005/01/02   2:51:48.272  153.9   90.2      1
508   2005/01/02   2:52:05.899  273.9   88.7      1
509   2005/01/02   2:52:18.403  163.9   95.4      1
510   2005/01/02   2:52:28.291  233.9   78.6      4
511   2005/01/02   2:52:28.291  303.9  103.6      4
512   2005/01/02   2:52:28.291  233.9   81.6      4
513   2005/01/02   2:52:28.291  303.9  107.5      4
514   2005/01/02   2:52:31.175  100.0   94.9      1
515   2005/01/02   2:52:31.146   96.0   91.1      1
